onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.72	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
8.41	0.6	targetCS-	object	right	right	0.26	correct
12.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
15.28	0.6	targetCS+	object	left	left	0.433	correct
20.47	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
23.15	0.6	targetCS+	place	right	right	0.32	correct
26.35	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.03	0.6	targetCS+	place	right	right	0.307	correct
33.22	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
35.9	0.6	targetCS+	place	left	left	0.316	correct
39.09	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
41.77	0.6	targetCS+	place	right	right	0.201	correct
45.29	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
57.68	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
60.36	0.6	targetCS+	place	left	left	0.185	correct
66.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.23	0.6	targetCS+	object	left	left	0.326	correct
74.43	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
77.11	0.6	targetCS+	place	left	left	0.296	correct
80.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
82.98	0.6	targetCS-	object	left	left	0.257	correct
89.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.86	0.6	targetCS+	object	right	right	0.322	correct
96.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
98.73	0.6	targetCS-	place	right	right	0.273	correct
104.92	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
107.61	0.6	targetCS+	object	right	right	0.317	correct
112.8	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
115.48	0.6	targetCS-	place	left	left	0.551	correct
119.79	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
122.47	0.6	targetCS-	place	right	right	0.294	correct
125.66	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
128.34	0.6	targetCS-	object	left	left	0.183	correct
133.54	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
136.22	0.6	targetCS+	object	left	left	0.346	correct
140.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
143.09	0.6	targetCS-	place	left	left	0.354	correct
146.28	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
148.96	0.6	targetCS-	place	right	right	0.372	correct
152.48	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
165.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
168.55	0.6	targetCS-	object	right	right	0.443	correct
174.75	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
177.43	0.6	targetCS-	object	left	left	0.565	correct
181.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.42	0.6	targetCS+	place	right	right	0.228	correct
189.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.29	0.6	targetCS-	place	left	left	0.346	correct
195.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.16	0.6	targetCS+	object	right	right	0.28	correct
201.36	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
204.04	0.6	targetCS-	object	right	right	0.467	correct
208.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
210.91	0.6	targetCS+	place	left	left	0.23	correct
216.1	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
218.78	0.6	targetCS-	object	left	left	0.264	correct
224.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
227.66	0.6	targetCS-	place	left	left	0.21	correct
233.85	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
236.53	0.6	targetCS+	object	right	right	0.254	correct
241.73	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
244.41	0.6	targetCS-	place	right	right	0.295	correct
247.93	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
259.31	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
262.01	0.6	targetCS+	object	left	left	0.402	correct
265.22	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
267.9	0.6	targetCS-	object	right	right	0.347	correct
