onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
6.19	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
8.88	0.6	targetCS+	place	right	right	0.319	correct
14.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
17.09	0.6	targetCS-	object	left	left	0.243	correct
20.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
22.97	0.6	targetCS-	object	left	left	0.443	correct
27.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.85	0.6	targetCS+	object	right	right	0.321	correct
33.37	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
47.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
49.79	0.6	targetCS+	object	right	right	0.421	correct
53.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
56.67	0.6	targetCS-	place	right	right	0.628	correct
61.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
64.66	0.6	targetCS+	object	left	left	0.442	correct
67.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
70.54	0.6	targetCS+	object	left	left	0.422	correct
73.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
76.43	0.6	targetCS+	place	right	right	0.287	correct
82.63	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
85.32	0.6	targetCS+	object	left	left	0.363	correct
90.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
93.21	0.6	targetCS-	place	left	left	0.737	correct
97.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
100.21	0.6	targetCS-	place	right	right	0.287	correct
106.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
109.09	0.6	targetCS+	place	left	left	0.251	correct
112.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.97	0.6	targetCS+	object	right	right	0.273	correct
119.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
121.87	0.6	targetCS-	place	right	right	0.278	correct
127.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
129.75	0.6	targetCS-	place	left	left	0.201	correct
133.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
146.7	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
149.39	0.6	targetCS+	place	left	left	0.266	correct
153.58	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
156.26	0.6	targetCS+	place	left	left	0.442	correct
159.78	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
162.46	0.6	targetCS+	place	right	right	0.423	correct
167.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
170.34	0.6	targetCS-	place	left	left	0.314	correct
174.54	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
177.22	0.6	targetCS-	object	right	right	0.289	correct
182.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
185.1	0.6	targetCS-	object	right	right	0.311	correct
188.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
190.98	0.6	targetCS+	place	left	left	0.252	correct
197.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.86	0.6	targetCS+	object	right	right	0.241	correct
205.06	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
207.74	0.6	targetCS+	place	right	right	0.386	correct
210.93	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.62	0.6	targetCS-	object	right	right	0.305	correct
218.15	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
220.83	0.6	targetCS-	object	right	right	0.264	correct
227.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
229.72	0.6	targetCS-	place	left	left	0.335	correct
235.92	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.6	0.6	targetCS-	object	left	left	0.388	correct
242.12	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
252.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.2	0.6	targetCS-	place	right	right	0.396	correct
259.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
262.41	0.6	targetCS-	object	left	left	0.357	correct
267.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
270.29	0.6	targetCS+	object	left	left	0.299	correct
