onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.81	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
7.5	0.6	targetCS-	object	right	right	0.468	correct
13.74	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
16.43	0.6	targetCS+	object	right	right	0.223	correct
19.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
22.32	0.6	targetCS+	object	left	left	0.235	correct
26.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.19	0.6	targetCS+	object	left	left	0.238	correct
35.4	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
38.1	0.6	targetCS-	object	right	right	0.184	correct
43.32	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
46	0.6	targetCS-	place	right	right	0.244	correct
49.52	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
59.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
62.63	0.6	targetCS+	place	left	left	0.538	correct
66.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.66	0.6	targetCS+	object	left	left	0.266	correct
73.85	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
76.55	0.6	targetCS-	place	left	right	0.264	incorrect
81.74	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
84.42	0.6	targetCS-	place	left	left	0.219	correct
87.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.29	0.6	targetCS-	place	left	left	0.245	correct
96.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
99.23	0.6	targetCS+	place	right	right	0.197	correct
102.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
105.1	0.6	targetCS+	object	left	left	0.207	correct
111.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
113.99	0.6	targetCS+	object	right	right	0.201	correct
119.24	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
121.92	0.6	targetCS+	place	left	left	0.215	correct
126.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
128.83	0.6	targetCS+	object	right	right	0.223	correct
134.05	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
136.73	0.6	targetCS-	object	left	left	0.305	correct
139.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
142.63	0.6	targetCS-	object	left	left	0.239	correct
148.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
151.54	0.6	targetCS-	place	right	right	0.209	correct
155.06	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
166.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
169.5	0.6	targetCS+	object	right	right	0.253	correct
172.69	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
175.37	0.6	targetCS-	object	right	right	0.299	correct
179.56	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
182.24	0.6	targetCS-	place	right	right	0.189	correct
187.49	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
190.18	0.6	targetCS+	place	left	left	0.295	correct
196.37	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.05	0.6	targetCS-	place	left	left	0.236	correct
205.29	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
207.97	0.6	targetCS-	object	left	left	0.251	correct
212.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
214.84	0.6	targetCS-	place	right	right	0.181	correct
218.03	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
220.72	0.6	targetCS+	place	right	right	0.263	correct
225.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
228.63	0.6	targetCS-	object	left	left	0.308	correct
231.89	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
234.57	0.6	targetCS+	place	right	right	0.323	correct
238.76	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
241.44	0.6	targetCS+	place	left	left	0.257	correct
244.95	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
258.7	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
261.38	0.6	targetCS-	object	right	right	0.288	correct
266.57	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
269.25	0.6	targetCS+	place	right	right	0.249	correct
