onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.43	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
6.11	0.6	targetCS-	place	left	left	0.888	correct
9.42	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
12.1	0.6	targetCS-	object	right	left	0.002	incorrect
15.63	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
28.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
30.74	0.6	targetCS+	place	left	n/a	0.887	incorrect
37.05	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
39.74	0.6	targetCS+	object	left	left	0.403	correct
45.94	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.62	0.6	targetCS-	place	right	right	0.396	correct
52.82	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
55.5	0.6	targetCS+	place	left	left	0.538	correct
60.81	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
63.52	0.6	targetCS-	place	left	left	0.811	correct
66.83	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
69.51	0.6	targetCS+	object	left	left	0.395	correct
75.71	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
78.39	0.6	targetCS-	object	left	left	0.512	correct
83.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
86.41	0.6	targetCS-	object	left	left	0.367	correct
90.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
93.29	0.6	targetCS-	object	left	left	0.516	correct
96.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
99.3	0.6	targetCS+	place	right	right	0.503	correct
103.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
106.29	0.6	targetCS-	place	left	left	0.469	correct
112.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
115.19	0.6	targetCS+	object	right	right	0.541	correct
118.83	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
131.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
133.91	0.6	targetCS-	object	right	right	0.554	correct
137.22	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
139.91	0.6	targetCS+	object	left	left	0.356	correct
146.12	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
148.81	0.6	targetCS+	object	right	right	0.436	correct
152	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.68	0.6	targetCS-	object	right	right	0.683	correct
159	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
161.68	0.6	targetCS+	place	left	left	0.325	correct
166.88	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
169.56	0.6	targetCS-	place	left	left	0.548	correct
173.89	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
176.57	0.6	targetCS-	object	right	right	0.385	correct
179.77	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
182.45	0.6	targetCS-	object	left	left	0.512	correct
187.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
190.45	0.6	targetCS+	object	right	right	0.776	correct
196.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
199.47	0.6	targetCS+	place	left	left	0.813	correct
203.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
206.46	0.6	targetCS+	place	right	right	0.472	correct
211.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
214.34	0.6	targetCS-	place	right	right	0.401	correct
220.54	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
223.23	0.6	targetCS+	place	right	right	0.475	correct
226.75	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
237.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
239.82	0.6	targetCS+	place	right	left	0.761	incorrect
245.14	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
247.84	0.6	targetCS+	object	left	left	0.439	correct
251.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
253.71	0.6	targetCS-	place	right	right	0.438	correct
257.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
260.59	0.6	targetCS+	object	right	right	0.519	correct
266.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
269.59	0.6	targetCS-	place	right	right	0.431	correct
