onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
6.57	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
9.26	0.73	targetCS-	place	left	left	0.52	correct
14.7	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
17.38	0.6	targetCS-	object	left	left	0.441	correct
20.89	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
31.29	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
33.97	0.6	targetCS-	place	right	right	0.317	correct
38.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.84	0.6	targetCS-	object	right	right	0.403	correct
46.03	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
48.71	0.6	targetCS-	place	left	left	0.393	correct
52.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
55.58	0.6	targetCS-	object	left	left	0.403	correct
61.77	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
64.45	0.6	targetCS-	object	left	left	0.358	correct
67.64	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
70.32	0.6	targetCS+	object	right	right	0.437	correct
73.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
76.19	0.6	targetCS+	object	right	right	0.374	correct
80.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
83.06	0.6	targetCS+	place	right	right	0.413	correct
89.25	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.93	0.6	targetCS+	place	left	left	0.465	correct
97.12	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.8	0.6	targetCS+	place	right	right	0.386	correct
102.99	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
105.67	0.6	targetCS+	object	right	right	0.405	correct
110.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
113.54	0.6	targetCS-	place	right	right	0.431	correct
117.06	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
128.46	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
131.14	0.6	targetCS-	place	left	left	0.429	correct
137.33	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
140.02	0.6	targetCS+	object	left	left	0.45	correct
143.21	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
145.89	0.6	targetCS-	object	right	right	0.383	correct
152.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.76	0.6	targetCS+	place	left	left	0.394	correct
159.96	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
162.64	0.6	targetCS+	object	left	left	0.429	correct
166.83	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.51	0.6	targetCS+	object	left	left	0.542	correct
172.81	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
175.49	0.6	targetCS-	place	right	right	0.373	correct
180.68	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
183.36	0.6	targetCS+	object	left	left	0.332	correct
189.56	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
192.23	0.6	targetCS-	object	left	left	0.363	correct
196.43	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
199.1	0.6	targetCS+	place	left	left	0.442	correct
203.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.97	0.6	targetCS+	place	right	right	0.332	correct
211.17	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
213.85	0.62	targetCS-	object	right	right	0.486	correct
220.05	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
222.73	0.6	targetCS+	place	left	left	0.412	correct
226.25	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.65	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
239.33	0.6	targetCS+	place	right	right	0.451	correct
242.52	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
245.2	0.6	targetCS-	object	right	right	0.417	correct
251.39	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
254.07	0.6	targetCS-	place	right	right	0.406	correct
259.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.94	0.6	targetCS-	place	left	left	0.355	correct
266.13	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.81	0.6	targetCS+	object	right	right	0.367	correct
