onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.77	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
8.47	0.6	targetCS-	place	left	left	0.46	correct
13.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.35	0.6	targetCS-	object	left	left	0.503	correct
19.99	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
30.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
33.07	0.6	targetCS-	place	right	right	0.559	correct
37.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.06	0.6	targetCS-	object	right	right	0.377	correct
45.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
47.94	0.6	targetCS-	place	left	left	0.42	correct
52.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
55.14	0.62	targetCS-	object	left	left	0.452	correct
61.35	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
64.04	0.6	targetCS-	object	left	left	0.6	correct
67.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
70.43	0.6	targetCS+	object	right	right	0.556	correct
73.74	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
76.43	0.6	targetCS+	object	right	n/a	0.888	incorrect
80.74	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
83.43	0.62	targetCS+	place	right	right	0.519	correct
90.08	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
92.76	0.6	targetCS+	place	left	left	0.503	correct
98.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
100.76	0.6	targetCS+	place	right	right	0.422	correct
103.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
106.63	0.6	targetCS+	object	right	right	0.725	correct
111.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.63	0.6	targetCS-	place	right	n/a	0.888	incorrect
118.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
130	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
132.68	0.6	targetCS-	place	left	left	0.503	correct
139	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
141.68	0.6	targetCS+	object	left	left	0.456	correct
145.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
147.89	0.6	targetCS-	object	right	n/a	0.887	incorrect
154.24	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
156.93	0.6	targetCS+	place	left	left	0.527	correct
162.24	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
164.92	0.6	targetCS+	object	left	left	0.427	correct
169.12	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
171.8	0.6	targetCS+	object	left	left	0.803	correct
175.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
177.8	0.6	targetCS-	place	right	right	0.67	correct
183.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
185.8	0.6	targetCS+	object	left	left	0.525	correct
192.11	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
194.8	0.6	targetCS-	object	left	n/a	0.886	incorrect
199.43	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
202.11	0.6	targetCS+	place	left	left	0.503	correct
206.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
209.11	0.6	targetCS+	place	right	right	0.503	correct
214.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
217.1	0.6	targetCS-	object	right	right	0.557	correct
223.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
226.1	0.6	targetCS+	place	left	left	0.503	correct
229.74	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
240.13	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
242.82	0.6	targetCS+	place	right	right	0.519	correct
246.13	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
248.81	0.6	targetCS-	object	right	right	0.518	correct
255.13	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
257.81	0.6	targetCS-	place	right	right	0.506	correct
263.13	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
265.81	0.6	targetCS-	place	left	left	0.426	correct
270.01	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
272.69	0.6	targetCS+	object	right	right	0.417	correct
