onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.75	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
8.43	0.6	targetCS-	object	right	right	0.531	correct
12.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
15.44	0.6	targetCS+	object	left	left	0.328	correct
20.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
23.36	0.6	targetCS+	place	right	right	0.563	correct
26.7	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.39	0.6	targetCS+	place	right	right	0.454	correct
33.58	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
36.26	0.6	targetCS+	place	left	left	0.811	correct
39.58	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
42.26	0.6	targetCS+	place	right	left	0.749	incorrect
45.9	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
58.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
60.98	0.6	targetCS+	place	left	left	0.534	correct
67.31	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
69.99	0.6	targetCS+	object	left	left	0.435	correct
75.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
77.87	0.6	targetCS+	place	left	left	0.452	correct
81.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
83.75	0.6	targetCS-	object	left	left	0.704	correct
90.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
93.09	0.6	targetCS+	object	right	right	0.852	correct
97.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
100.1	0.6	targetCS-	place	right	right	0.725	correct
106.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
109.1	0.6	targetCS+	object	right	n/a	0.887	incorrect
114.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
117.1	0.6	targetCS-	place	left	left	0.426	correct
121.29	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
123.98	0.6	targetCS-	place	right	right	0.503	correct
127.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
129.97	0.6	targetCS-	object	left	left	0.54	correct
135.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
137.97	0.6	targetCS+	object	left	left	0.7	correct
142.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
144.96	0.6	targetCS-	place	left	left	0.44	correct
148.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
150.84	0.6	targetCS-	place	right	right	0.459	correct
154.36	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
168.08	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
170.76	0.6	targetCS-	object	right	right	0.681	correct
177.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
179.76	0.6	targetCS-	object	left	left	0.595	correct
184.09	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
186.77	0.6	targetCS+	place	right	right	0.328	correct
191.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
194.67	0.6	targetCS-	place	left	left	0.568	correct
197.98	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
200.67	0.6	targetCS+	object	right	right	0.632	correct
203.98	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
206.66	0.6	targetCS-	object	right	right	0.689	correct
210.99	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.67	0.6	targetCS+	place	left	n/a	0.887	incorrect
219.01	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
221.69	0.6	targetCS-	object	left	left	0.525	correct
228.01	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
230.69	0.6	targetCS-	place	left	left	0.503	correct
237.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
239.7	0.6	targetCS+	object	right	right	0.352	correct
244.9	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
247.59	0.6	targetCS-	place	right	right	0.585	correct
251.23	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
262.62	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
265.3	0.6	targetCS+	object	left	left	0.588	correct
268.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
271.3	0.6	targetCS-	object	right	n/a	0.886	incorrect
