onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
6.43	0.6	targetCS+	object	right	right	0.486	correct
9.67	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
12.35	0.6	targetCS-	place	right	right	0.578	correct
18.69	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
21.37	0.6	targetCS+	place	right	right	0.458	correct
26.57	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
29.24	0.6	targetCS+	object	right	right	0.375	correct
35.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
38.12	0.6	targetCS-	place	left	left	0.306	correct
41.63	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
52.36	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
55.06	0.6	targetCS-	object	right	right	0.453	correct
60.27	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
62.95	0.6	targetCS-	object	right	right	0.446	correct
67.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.85	0.6	targetCS-	place	right	right	0.472	correct
74.06	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
76.74	0.6	targetCS-	object	left	left	0.469	correct
81.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
84.67	0.6	targetCS+	place	left	left	0.285	correct
87.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
90.58	0.6	targetCS+	object	left	left	0.549	correct
96.92	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
99.6	0.6	targetCS+	place	right	right	0.462	correct
104.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
106.85	0.6	targetCS-	object	left	left	0.382	correct
110.04	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
112.74	0.6	targetCS+	object	right	right	0.55	correct
118.11	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
120.79	0.6	targetCS-	object	right	right	0.541	correct
127.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
129.78	0.6	targetCS-	place	right	right	0.537	correct
133.42	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
146.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
148.84	0.6	targetCS+	place	right	right	0.459	correct
153.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
155.71	0.6	targetCS-	place	left	left	0.556	correct
159.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
161.7	0.6	targetCS-	object	left	left	0.69	correct
168.04	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
170.72	0.6	targetCS+	place	right	right	0.47	correct
174.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
177.59	0.6	targetCS+	place	left	left	0.503	correct
180.89	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
183.58	0.6	targetCS+	place	left	left	0.401	correct
189.77	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.45	0.6	targetCS+	object	right	right	0.42	correct
197.64	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
200.32	0.6	targetCS+	object	left	left	0.591	correct
205.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
208.32	0.6	targetCS+	object	left	left	0.396	correct
214.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
217.19	0.6	targetCS-	place	right	right	0.509	correct
220.5	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
223.18	0.6	targetCS+	object	left	left	0.471	correct
227.39	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
230.07	0.6	targetCS-	object	left	left	0.513	correct
236.37	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
239.05	0.6	targetCS-	object	right	right	0.553	correct
242.69	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
255.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
257.76	0.6	targetCS+	place	left	left	0.399	correct
260.96	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
263.63	0.6	targetCS-	place	left	left	0.398	correct
267.83	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
270.5	0.6	targetCS-	place	left	left	0.424	correct
