onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.08	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
7.76	0.6	targetCS-	place	right	right	0.713	correct
12.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
14.76	0.6	targetCS-	object	right	right	0.461	correct
17.97	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
20.65	0.6	targetCS-	object	left	left	0.301	correct
26.85	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.53	0.6	targetCS-	place	right	right	0.295	correct
33.06	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
43.45	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
46.13	0.6	targetCS-	object	right	right	0.291	correct
50.33	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
53.01	0.6	targetCS-	object	left	left	0.522	correct
58.32	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
61.01	0.6	targetCS-	place	left	left	0.432	correct
67.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.89	0.6	targetCS-	place	left	left	0.316	correct
76.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
78.79	0.6	targetCS+	place	left	left	0.412	correct
82.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
85.67	0.6	targetCS+	object	right	right	0.322	correct
88.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.55	0.6	targetCS+	object	right	right	0.351	correct
96.75	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.43	0.6	targetCS+	object	right	right	0.42	correct
103.63	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
106.31	0.6	targetCS+	object	right	right	0.365	correct
111.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
114.21	0.6	targetCS-	object	left	left	0.427	correct
120.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
123.09	0.6	targetCS-	place	left	left	0.282	correct
126.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
128.97	0.6	targetCS-	place	left	left	0.367	correct
132.49	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
144.88	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
147.57	0.6	targetCS+	place	right	right	0.512	correct
151.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.23	0.6	targetCS+	object	left	left	0.302	correct
160.44	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
163.13	0.6	targetCS+	object	left	left	0.36	correct
167.32	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
170.03	0.6	targetCS+	object	left	left	0.518	correct
174.35	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
177.04	0.62	targetCS+	place	left	left	0.465	correct
182.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.95	0.6	targetCS+	place	right	right	0.266	correct
191.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
193.83	0.6	targetCS+	object	left	left	0.284	correct
197.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.71	0.6	targetCS-	place	right	right	0.586	correct
205.03	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
207.71	0.6	targetCS+	place	right	right	0.366	correct
213.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
216.59	0.6	targetCS+	place	left	left	0.271	correct
219.79	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
222.47	0.6	targetCS-	object	right	right	0.458	correct
225.99	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
237.39	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
240.07	0.6	targetCS-	place	right	right	0.503	correct
245.39	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
248.07	0.6	targetCS-	object	left	left	0.414	correct
252.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
254.95	0.6	targetCS+	place	right	right	0.417	correct
261.15	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
263.83	0.6	targetCS+	place	left	left	0.293	correct
267.03	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
269.71	0.6	targetCS-	object	right	right	0.344	correct
