onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.07	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
6.75	0.6	targetCS-	object	left	left	0.534	correct
10.08	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
12.76	0.6	targetCS+	place	right	right	0.547	correct
18.08	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
20.76	0.6	targetCS-	place	left	left	0.347	correct
26.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.64	0.6	targetCS+	object	left	left	0.392	correct
33.85	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
36.54	0.6	targetCS-	object	right	right	0.414	correct
40.06	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
53.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
56.16	0.6	targetCS-	place	right	right	0.285	correct
61.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
64.04	0.6	targetCS-	place	left	left	0.316	correct
67.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.92	0.6	targetCS-	object	left	left	0.355	correct
76.13	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
78.82	0.6	targetCS+	object	right	right	0.4	correct
82.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
84.71	0.6	targetCS+	object	left	left	0.224	correct
89.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.59	0.6	targetCS+	object	right	right	0.254	correct
96.79	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.47	0.6	targetCS-	object	right	right	0.316	correct
102.68	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
105.37	0.6	targetCS-	place	left	left	0.27	correct
109.58	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
112.26	0.6	targetCS+	place	right	right	0.317	correct
118.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
121.14	0.6	targetCS-	place	right	right	0.252	correct
126.36	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
129.04	0.6	targetCS-	object	right	right	0.303	correct
134.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
136.94	0.6	targetCS-	place	right	right	0.29	correct
140.46	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
152.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
154.87	0.6	targetCS+	place	left	left	0.503	correct
161.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
163.89	0.6	targetCS+	place	left	left	0.263	correct
167.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.77	0.6	targetCS-	object	left	left	0.398	correct
172.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
175.64	0.6	targetCS-	place	right	right	0.274	correct
181.84	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.53	0.6	targetCS-	place	left	left	0.342	correct
189.74	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.43	0.6	targetCS+	place	right	right	0.268	correct
196.64	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.32	0.6	targetCS-	object	left	left	0.341	correct
202.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.22	0.6	targetCS-	object	right	right	0.29	correct
209.41	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
212.1	0.6	targetCS+	place	left	left	0.333	correct
217.31	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
220.01	0.6	targetCS+	object	left	left	0.25	correct
226.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
228.89	0.6	targetCS+	object	left	left	0.338	correct
232.12	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
234.8	0.6	targetCS+	place	left	left	0.282	correct
239	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
241.68	0.6	targetCS+	place	right	n/a	0.887	incorrect
245.32	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
257.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
260.42	0.6	targetCS+	object	right	right	0.331	correct
266.63	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
269.32	0.6	targetCS+	object	right	right	0.277	correct
