onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.73	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
6.43	0.6	targetCS-	place	left	left	0.553	correct
12.75	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
15.43	0.6	targetCS+	place	left	left	0.544	correct
19.07	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
29.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
32.14	0.6	targetCS-	object	right	right	0.567	correct
37.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.14	0.6	targetCS+	object	left	left	0.503	correct
45.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.14	0.6	targetCS-	object	right	right	0.535	correct
52.45	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
55.13	0.6	targetCS-	object	left	n/a	0.888	incorrect
58.45	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
61.13	0.6	targetCS-	object	left	left	0.519	correct
67.45	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
70.13	0.62	targetCS+	object	right	right	0.486	correct
73.34	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
76.04	0.6	targetCS-	place	right	right	0.476	correct
80.24	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
82.92	0.6	targetCS+	place	right	right	0.503	correct
88.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.92	0.6	targetCS-	place	right	right	0.458	correct
97.12	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.8	0.6	targetCS+	object	right	right	0.387	correct
105	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
107.68	0.6	targetCS+	place	right	right	0.428	correct
113.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
116.56	0.6	targetCS+	object	right	right	0.505	correct
120.2	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
131.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
134.28	0.6	targetCS+	place	right	right	0.451	correct
137.47	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
140.16	0.6	targetCS+	object	right	right	0.536	correct
144.47	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
147.17	0.6	targetCS-	object	left	left	0.717	correct
150.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
153.17	0.6	targetCS-	place	left	left	0.51	correct
159.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
162.17	0.6	targetCS+	place	left	left	0.503	correct
167.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
170.16	0.6	targetCS-	place	right	right	0.448	correct
175.36	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
178.04	0.6	targetCS+	object	left	left	0.525	correct
181.35	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.06	0.6	targetCS+	place	right	right	0.513	correct
188.37	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.05	0.6	targetCS+	object	left	left	0.771	correct
197.37	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.05	0.6	targetCS-	object	left	left	0.723	correct
204.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
207.05	0.6	targetCS+	place	left	left	0.503	correct
210.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.04	0.6	targetCS-	place	left	left	0.503	correct
219.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
222.04	0.6	targetCS-	object	right	right	0.466	correct
225.56	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
237.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
240.64	0.6	targetCS-	object	right	right	0.4	correct
244.84	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
247.52	0.6	targetCS-	place	right	right	0.442	correct
250.72	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
253.4	0.6	targetCS-	place	left	left	0.519	correct
259.71	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
262.4	0.6	targetCS+	place	left	left	0.453	correct
267.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
270.28	0.6	targetCS+	object	left	left	0.503	correct
