onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.81	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
7.5	0.6	targetCS+	object	right	right	0.499	correct
13.83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.52	0.6	targetCS-	object	right	right	0.473	correct
20.04	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
30.43	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
33.11	0.6	targetCS-	place	left	left	0.503	correct
37.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.11	0.6	targetCS+	object	right	right	0.276	correct
44.31	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
46.99	0.6	targetCS-	place	right	n/a	0.887	incorrect
53.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
55.99	0.6	targetCS+	place	right	right	0.522	correct
59.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
61.98	0.6	targetCS-	object	right	right	0.474	correct
67.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.86	0.6	targetCS-	place	left	left	0.503	correct
75.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
77.86	0.6	targetCS-	place	right	right	0.51	correct
84.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
86.86	0.6	targetCS+	place	left	left	0.522	correct
90.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.86	0.6	targetCS+	object	left	left	0.503	correct
97.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
99.85	0.6	targetCS-	object	right	right	0.323	correct
106.05	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
108.75	0.6	targetCS-	object	left	left	0.334	correct
113.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
116.63	0.6	targetCS+	place	right	right	0.541	correct
120.95	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
123.63	0.6	targetCS-	place	left	left	0.532	correct
127.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
137.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
140.34	0.6	targetCS-	object	left	left	0.519	correct
146.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
149.34	0.6	targetCS+	object	left	left	0.522	correct
152.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
155.34	0.6	targetCS+	object	right	right	0.538	correct
159.65	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
162.33	0.6	targetCS-	place	right	right	0.464	correct
167.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
170.22	0.6	targetCS+	object	right	right	0.634	correct
175.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
178.21	0.6	targetCS+	place	left	left	0.503	correct
181.52	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.21	0.6	targetCS+	place	right	right	0.476	correct
190.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
193.09	0.6	targetCS+	place	left	left	0.503	correct
197.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.09	0.6	targetCS-	object	right	right	0.512	correct
205.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
208.08	0.6	targetCS-	object	left	left	0.018	correct
214.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
216.97	0.6	targetCS+	place	left	left	0.506	correct
220.61	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
232	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
234.68	0.6	targetCS-	object	left	left	0.516	correct
237.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
240.68	0.6	targetCS-	place	right	right	0.466	correct
245.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
248.56	0.6	targetCS+	place	right	right	0.532	correct
251.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
254.55	0.6	targetCS+	object	left	left	0.744	correct
258.87	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.55	0.6	targetCS-	place	left	left	0.519	correct
267.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
270.55	0.6	targetCS+	object	left	left	0.458	correct
