onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.73	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
7.41	0.6	targetCS+	object	right	right	0.47	correct
11.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
14.29	0.6	targetCS-	object	right	right	0.483	correct
20.49	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
23.18	0.6	targetCS-	place	left	left	0.325	correct
26.37	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.05	0.6	targetCS+	object	right	right	0.423	correct
35.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
37.94	0.6	targetCS+	place	left	right	0.002	incorrect
41.46	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
53.85	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
56.54	0.6	targetCS-	object	left	left	0.611	correct
60.85	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
63.53	0.6	targetCS-	object	left	left	0.336	correct
66.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.41	0.62	targetCS-	place	left	left	0.306	correct
74.63	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
77.31	0.6	targetCS+	place	right	right	0.569	correct
81.62	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
84.3	0.6	targetCS+	place	left	left	0.402	correct
87.5	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.18	0.6	targetCS+	object	right	right	0.481	correct
96.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.06	0.6	targetCS+	object	left	left	0.293	correct
102.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
104.94	0.6	targetCS+	object	left	left	0.417	correct
111.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
113.83	0.6	targetCS+	place	left	left	0.473	correct
118.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
120.7	0.6	targetCS-	place	right	right	0.877	correct
126.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
128.7	0.6	targetCS-	object	left	left	0.328	correct
132.9	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
135.58	0.6	targetCS-	object	left	left	0.331	correct
139.1	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
151.5	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
154.18	0.6	targetCS-	place	left	left	0.353	correct
160.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
163.07	0.6	targetCS-	place	right	right	0.401	correct
166.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.94	0.6	targetCS+	object	left	left	0.321	correct
173.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
175.82	0.6	targetCS+	place	left	left	0.313	correct
181.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
183.7	0.6	targetCS+	place	right	n/a	0.886	incorrect
190.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.7	0.6	targetCS-	place	right	n/a	0.886	incorrect
196.01	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.7	0.6	targetCS-	object	right	right	0.747	correct
203.01	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.69	0.6	targetCS-	place	left	left	0.652	correct
209	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
211.69	0.6	targetCS+	object	right	n/a	0.886	incorrect
218	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
220.69	0.6	targetCS+	object	left	left	0.3	correct
225.89	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
228.57	0.6	targetCS+	place	right	right	0.537	correct
232.21	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
243.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
246.28	0.6	targetCS-	object	right	right	0.346	correct
252.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.17	0.6	targetCS+	place	right	right	0.771	correct
260.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
263.17	0.6	targetCS-	object	right	n/a	0.885	incorrect
266.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
269.16	0.6	targetCS-	place	right	right	0.002	correct
