onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
8.41	0.6	targetCS-	object	left	left	0.26	correct
13.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
16.28	0.6	targetCS+	object	right	right	0.417	correct
20.47	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
23.15	0.6	targetCS+	place	right	right	0.196	correct
26.67	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
37.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.74	0.6	targetCS+	place	right	right	0.356	correct
45.94	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
48.62	0.6	targetCS+	object	left	left	0.288	correct
53.81	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
56.49	0.6	targetCS-	place	right	right	0.215	correct
59.68	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
62.37	0.6	targetCS-	object	left	left	0.28	correct
66.56	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.24	0.6	targetCS+	place	left	left	0.279	correct
75.44	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
78.11	0.6	targetCS+	place	left	left	0.173	correct
82.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
84.98	0.6	targetCS-	object	right	right	0.223	correct
90.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
92.86	0.6	targetCS+	place	left	left	0.23	correct
96.05	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
98.72	0.6	targetCS-	object	left	left	0.319	correct
104.92	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
107.6	0.6	targetCS+	object	right	right	0.272	correct
111.79	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
114.47	0.6	targetCS+	object	left	left	0.215	correct
117.98	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
128.38	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
131.06	0.6	targetCS-	object	right	right	0.231	correct
136.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
138.93	0.6	targetCS+	place	left	left	0.278	correct
145.12	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
147.8	0.6	targetCS-	place	left	left	0.315	correct
151.99	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
154.67	0.6	targetCS+	object	right	right	0.218	correct
157.86	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
160.54	0.6	targetCS-	place	left	left	0.228	correct
165.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.41	0.6	targetCS+	object	left	left	0.3	correct
174.6	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
177.28	0.6	targetCS-	object	right	right	0.361	correct
182.48	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
185.15	0.6	targetCS-	place	right	right	0.334	correct
188.34	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
191.02	0.6	targetCS-	place	left	left	0.289	correct
195.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
197.89	0.6	targetCS+	place	right	right	0.211	correct
203.09	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
205.76	0.6	targetCS-	place	left	left	0.207	correct
210.06	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
212.75	0.6	targetCS+	object	left	left	0.25	correct
216.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
226.66	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
229.34	0.6	targetCS+	object	right	right	0.284	correct
235.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
238.21	0.6	targetCS+	place	right	right	0.368	correct
241.41	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
244.08	0.6	targetCS-	place	right	right	0.312	correct
250.28	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
252.96	0.6	targetCS-	object	right	right	0.288	correct
258.15	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
260.83	0.6	targetCS-	object	left	left	0.186	correct
265.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
267.7	0.6	targetCS-	place	right	right	0.312	correct
