onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.74	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
7.42	0.62	targetCS-	object	left	left	0.475	correct
10.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
13.35	0.6	targetCS+	object	right	right	0.256	correct
19.57	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
22.25	0.6	targetCS-	place	left	left	0.333	correct
26.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.15	0.6	targetCS-	object	right	right	0.297	correct
35.36	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
38.05	0.6	targetCS+	object	left	left	0.361	correct
41.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
43.94	0.6	targetCS+	place	left	left	0.368	correct
47.46	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
59.86	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
62.54	0.6	targetCS-	object	right	right	0.308	correct
66.74	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.42	0.6	targetCS+	object	left	left	0.377	correct
75.65	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
78.34	0.6	targetCS+	object	left	left	0.372	correct
81.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
84.23	0.6	targetCS+	object	left	left	0.336	correct
88.43	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
91.11	0.6	targetCS-	place	right	right	0.308	correct
96.31	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
98.99	0.6	targetCS+	object	right	right	0.416	correct
105.21	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
107.89	0.6	targetCS+	place	right	right	0.309	correct
112.09	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.77	0.6	targetCS+	object	right	right	0.388	correct
118	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
120.68	0.6	targetCS-	object	left	left	0.503	correct
126	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
128.68	0.6	targetCS-	place	right	right	0.363	correct
134.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
137.56	0.6	targetCS-	place	left	left	0.385	correct
141.09	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
151.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.16	0.6	targetCS-	place	right	right	0.342	correct
159.36	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
162.06	0.6	targetCS-	object	right	right	0.004	correct
166.27	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
168.95	0.6	targetCS+	object	right	right	0.284	correct
173.15	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
175.83	0.6	targetCS-	place	left	left	0.257	correct
182.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.73	0.6	targetCS+	place	right	right	0.262	correct
187.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
190.63	0.6	targetCS-	object	left	right	0.003	incorrect
195.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.51	0.6	targetCS+	place	left	left	0.361	correct
201.7	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
204.39	0.6	targetCS+	place	left	left	0.332	correct
210.59	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
213.27	0.6	targetCS+	place	left	left	0.356	correct
217.46	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
220.15	0.6	targetCS+	place	right	right	0.358	correct
225.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
228.04	0.6	targetCS-	object	left	left	0.394	correct
232.24	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
234.92	0.6	targetCS-	object	right	right	0.607	correct
238.56	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
251.96	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
254.64	0.6	targetCS-	place	left	left	0.336	correct
257.84	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
260.52	0.6	targetCS+	place	right	right	0.503	correct
265.84	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
268.52	0.6	targetCS-	place	right	right	0.394	correct
