onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.17	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
6.85	0.63	targetCS+	place	right	right	0.421	correct
12.09	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
14.77	0.6	targetCS+	object	left	left	0.463	correct
18.29	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
28.68	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
31.36	0.6	targetCS+	place	left	left	0.389	correct
37.56	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
40.25	0.6	targetCS-	object	left	left	0.39	correct
45.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.12	0.6	targetCS-	place	right	right	0.338	correct
54.31	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
56.99	0.6	targetCS+	place	left	left	0.708	correct
61.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
63.98	0.6	targetCS+	object	left	left	0.426	correct
67.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.85	0.6	targetCS-	object	left	left	0.434	correct
73.04	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
75.72	0.6	targetCS+	object	left	left	0.413	correct
81.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
84.59	0.6	targetCS+	object	right	right	0.642	correct
88.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.58	0.6	targetCS-	place	left	left	0.445	correct
96.77	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.45	0.6	targetCS+	place	right	right	0.729	correct
104.76	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
107.44	0.6	targetCS+	object	right	right	0.321	correct
110.95	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
121.35	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
124.04	0.6	targetCS-	object	left	left	0.378	correct
128.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.92	0.6	targetCS-	place	right	right	0.456	correct
137.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
139.79	0.6	targetCS+	object	right	right	0.833	correct
145.1	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
147.77	0.6	targetCS-	object	left	left	0.383	correct
153.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
156.65	0.6	targetCS+	place	left	left	0.439	correct
159.84	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
162.52	0.6	targetCS+	object	right	right	0.502	correct
166.82	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
169.5	0.6	targetCS+	place	right	right	0.406	correct
172.69	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
175.37	0.6	targetCS+	place	right	right	0.401	correct
181.56	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
184.24	0.6	targetCS-	place	left	left	0.455	correct
189.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.11	0.6	targetCS-	object	right	right	0.589	correct
196.42	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
199.12	0.6	targetCS-	object	right	right	0.336	correct
205.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
207.99	0.6	targetCS-	object	right	right	0.589	correct
212.3	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
214.98	0.6	targetCS-	place	right	right	0.63	correct
218.61	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
231.01	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
233.69	0.6	targetCS-	place	left	left	0.512	correct
236.99	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
239.67	0.6	targetCS-	object	right	right	0.354	correct
244.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
247.54	0.6	targetCS+	object	left	left	0.404	correct
253.74	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
256.41	0.6	targetCS+	place	left	left	0.401	correct
260.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
263.28	0.6	targetCS-	place	left	left	0.463	correct
266.47	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
269.15	0.6	targetCS-	place	right	right	0.387	correct
