onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.84	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
7.52	0.62	targetCS+	object	right	right	0.395	correct
13.75	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
16.43	0.6	targetCS-	object	right	right	0.382	correct
19.95	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
30.33	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
33.01	0.6	targetCS-	place	left	left	0.258	correct
37.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.88	0.6	targetCS+	object	right	right	0.309	correct
44.08	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
46.76	0.6	targetCS-	place	right	right	0.365	correct
52.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
55.63	0.6	targetCS+	place	right	right	0.446	correct
58.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
61.5	0.6	targetCS-	object	right	right	0.43	correct
66.7	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.38	0.6	targetCS-	place	left	left	0.402	correct
74.57	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
77.25	0.6	targetCS-	place	right	right	0.442	correct
83.45	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
86.13	0.6	targetCS+	place	left	left	0.406	correct
89.32	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
92	0.6	targetCS+	object	left	left	0.392	correct
96.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
98.87	0.6	targetCS-	object	right	right	0.379	correct
105.07	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
107.75	0.6	targetCS-	object	left	left	0.372	correct
112.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
115.62	0.6	targetCS+	place	right	right	0.519	correct
119.93	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
122.62	0.6	targetCS-	place	left	left	0.378	correct
126.14	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
136.52	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
139.2	0.6	targetCS-	object	left	left	0.328	correct
145.39	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
148.07	0.6	targetCS+	object	left	left	0.419	correct
151.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
153.95	0.6	targetCS+	object	right	right	0.541	correct
158.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
160.94	0.6	targetCS-	place	right	right	0.379	correct
166.13	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
168.81	0.6	targetCS+	object	right	right	0.385	correct
174	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
176.69	0.6	targetCS+	place	left	left	0.364	correct
179.88	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
182.56	0.6	targetCS+	place	right	right	0.354	correct
188.75	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.43	0.62	targetCS+	place	left	left	0.31	correct
195.64	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
198.32	0.6	targetCS-	object	right	right	0.429	correct
203.52	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
206.2	0.6	targetCS-	object	left	left	0.387	correct
212.39	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
215.07	0.6	targetCS+	place	left	left	0.553	correct
218.71	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
230.09	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
232.78	0.6	targetCS-	object	left	left	0.506	correct
236.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.76	0.6	targetCS-	place	right	right	0.235	correct
243.96	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
246.64	0.6	targetCS+	place	right	right	0.589	correct
249.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
252.63	0.6	targetCS+	object	left	left	0.39	correct
256.82	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
259.5	0.6	targetCS-	place	left	right	0.449	incorrect
266.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.93	0.6	targetCS+	object	left	left	0.573	correct
