onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
6.41	0.6	targetCS+	object	right	right	0.419	correct
11.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
14.29	0.6	targetCS+	object	right	right	0.336	correct
17.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
20.16	0.6	targetCS-	object	right	right	0.431	correct
26.36	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
29.04	0.6	targetCS-	place	right	right	0.325	correct
32.23	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
34.91	0.6	targetCS-	object	left	left	0.327	correct
40.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
42.78	0.6	targetCS-	place	left	left	0.416	correct
46.3	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
57.69	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
60.37	0.6	targetCS+	place	right	right	0.413	correct
66.56	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.24	0.6	targetCS-	place	left	left	0.554	correct
74.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
77.24	0.6	targetCS+	place	left	left	0.519	correct
80.54	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
83.23	0.6	targetCS-	object	left	left	0.669	correct
89.54	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.22	0.6	targetCS-	place	left	left	0.289	correct
96.41	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.09	0.6	targetCS+	object	left	left	0.464	correct
102.28	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
104.96	0.6	targetCS+	object	left	left	0.388	correct
111.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
113.84	0.6	targetCS-	object	right	right	0.44	correct
118.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
120.71	0.6	targetCS+	object	left	left	0.433	correct
125.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
128.59	0.6	targetCS-	object	right	right	0.277	correct
131.78	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
134.46	0.6	targetCS+	place	right	right	0.405	correct
138.65	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
141.33	0.6	targetCS+	object	left	left	0.382	correct
146.53	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
149.21	0.6	targetCS+	place	left	left	0.48	correct
152.73	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
166.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
168.79	0.6	targetCS-	place	right	right	0.32	correct
173.99	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
176.67	0.6	targetCS+	place	left	left	0.547	correct
179.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
182.66	0.6	targetCS+	object	right	right	0.481	correct
188.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.55	0.6	targetCS+	place	right	right	0.503	correct
195.86	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
198.54	0.6	targetCS-	place	right	right	0.439	correct
202.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
205.41	0.62	targetCS-	object	left	left	0.584	correct
208.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
211.4	0.6	targetCS-	object	right	right	0.367	correct
217.6	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
220.28	0.6	targetCS-	place	left	left	0.397	correct
225.47	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
228.15	0.6	targetCS-	object	left	left	0.34	correct
234.35	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
237.03	0.6	targetCS-	place	right	right	0.374	correct
240.22	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
242.9	0.6	targetCS+	object	right	right	0.348	correct
246.42	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
257.8	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
260.49	0.6	targetCS+	place	right	right	0.516	correct
265.8	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.48	0.6	targetCS+	place	left	left	0.43	correct
