onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.85	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
6.54	0.6	targetCS+	place	right	right	0.688	correct
11.88	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
14.56	0.6	targetCS+	object	left	left	0.596	correct
18.2	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
28.59	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
31.27	0.6	targetCS+	place	left	left	0.578	correct
37.61	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.29	0.6	targetCS-	object	left	left	0.51	correct
45.62	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.3	0.6	targetCS-	place	right	right	0.503	correct
55.31	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
57.99	0.6	targetCS+	place	left	left	0.417	correct
62.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
64.87	0.6	targetCS+	object	left	left	0.512	correct
68.2	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
70.88	0.6	targetCS-	object	left	left	0.509	correct
74.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
76.87	0.6	targetCS+	object	left	left	0.426	correct
83.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
85.76	0.6	targetCS+	object	right	right	0.437	correct
89.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.64	0.6	targetCS-	place	left	left	0.468	correct
97.85	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
100.53	0.6	targetCS+	place	right	right	0.506	correct
105.87	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
108.55	0.6	targetCS+	object	right	right	0.591	correct
112.19	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
122.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
125.28	0.6	targetCS-	object	left	left	0.559	correct
129.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
132.29	0.6	targetCS-	place	right	right	0.522	correct
138.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
141.29	0.62	targetCS+	object	right	right	0.485	correct
146.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
149.19	0.6	targetCS-	object	left	n/a	0.885	incorrect
155.52	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
158.21	0.6	targetCS+	place	left	left	0.503	correct
161.52	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
164.2	0.6	targetCS+	object	right	right	0.446	correct
168.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
171.08	0.6	targetCS+	place	right	right	0.409	correct
174.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
176.96	0.6	targetCS+	place	right	right	0.456	correct
183.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
185.84	0.6	targetCS-	place	left	left	0.518	correct
191.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
193.84	0.6	targetCS-	object	right	right	0.327	correct
198.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.73	0.6	targetCS-	object	right	right	0.369	correct
206.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
209.62	0.6	targetCS-	object	right	right	0.447	correct
213.81	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
216.5	0.6	targetCS-	place	right	right	0.384	correct
220.04	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
232.43	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
235.11	0.6	targetCS-	place	left	left	0.589	correct
239.09	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
241.78	0.6	targetCS-	object	right	right	0.484	correct
246.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
249.66	0.6	targetCS+	object	left	left	0.596	correct
255.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
258.66	0.6	targetCS+	place	left	left	0.745	correct
262.97	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
265.65	0.6	targetCS-	place	left	left	0.512	correct
268.96	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
271.65	0.6	targetCS-	place	right	right	0.441	correct
