onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
7.41	0.6	targetCS-	object	right	right	0.397	correct
13.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
16.28	0.6	targetCS+	object	right	right	0.276	correct
19.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
22.16	0.6	targetCS+	object	left	left	0.224	correct
26.35	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.03	0.6	targetCS+	object	left	left	0.222	correct
35.24	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
37.92	0.6	targetCS-	object	right	right	0.357	correct
43.12	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
45.8	0.6	targetCS-	place	right	right	0.212	correct
49.32	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
59.7	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
62.38	0.6	targetCS+	place	left	left	0.312	correct
66.57	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.25	0.6	targetCS+	object	left	left	0.333	correct
73.45	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
76.13	0.6	targetCS-	place	left	left	0.325	correct
81.32	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
84	0.6	targetCS-	place	left	left	0.207	correct
87.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
89.87	0.6	targetCS-	place	left	left	0.249	correct
96.07	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
98.75	0.6	targetCS+	place	right	right	0.42	correct
101.94	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
104.62	0.6	targetCS+	object	left	left	0.26	correct
110.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
113.5	0.6	targetCS+	object	right	right	0.185	correct
118.69	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
121.37	0.6	targetCS+	place	left	left	0.209	correct
125.56	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
128.25	0.6	targetCS+	object	right	right	0.239	correct
133.44	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
136.12	0.6	targetCS-	object	left	left	0.231	correct
139.31	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
141.99	0.6	targetCS-	object	left	left	0.299	correct
148.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
150.87	0.6	targetCS-	place	right	right	0.215	correct
154.39	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
165.77	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
168.45	0.6	targetCS+	object	right	right	0.287	correct
171.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
174.33	0.6	targetCS-	object	right	right	0.285	correct
178.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
181.2	0.6	targetCS-	place	right	right	0.455	correct
186.39	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
189.07	0.6	targetCS+	place	left	left	0.282	correct
195.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
197.95	0.6	targetCS-	place	left	left	0.267	correct
204.15	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
206.83	0.6	targetCS-	object	left	left	0.241	correct
211.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.7	0.6	targetCS-	place	right	right	0.222	correct
216.89	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
219.57	0.6	targetCS+	place	right	right	0.437	correct
224.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
227.45	0.6	targetCS-	object	left	left	0.266	correct
230.64	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
233.32	0.6	targetCS+	place	right	right	0.196	correct
237.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
240.19	0.6	targetCS+	place	left	left	0.322	correct
243.71	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
257.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
259.78	0.6	targetCS-	object	right	right	0.245	correct
264.97	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
267.65	0.6	targetCS+	place	right	right	0.265	correct
