onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
8.42	0.6	targetCS-	place	left	left	0.268	correct
12.96	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
15.64	0.6	targetCS+	place	left	left	0.244	correct
18.83	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
21.51	0.6	targetCS+	object	right	right	0.231	correct
25.03	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
37.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
40.1	0.6	targetCS+	object	left	left	0.197	correct
43.29	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
45.97	0.6	targetCS+	object	left	left	0.541	correct
52.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
54.97	0.6	targetCS-	place	right	right	0.244	correct
60.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
62.86	0.6	targetCS+	object	right	right	0.276	correct
67.07	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
69.75	0.6	targetCS-	object	right	right	0.305	correct
75.94	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
78.64	0.6	targetCS+	place	left	left	0.338	correct
83.2	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
85.87	0.6	targetCS+	place	right	right	0.414	correct
91.1	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
93.78	0.6	targetCS+	object	left	left	0.262	correct
96.97	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
99.65	0.6	targetCS-	object	left	left	0.684	correct
103.99	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
106.68	0.6	targetCS-	object	right	right	0.217	correct
109.91	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
112.6	0.6	targetCS-	object	right	right	0.239	correct
117.83	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
120.51	0.6	targetCS-	place	left	left	0.239	correct
126.7	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
129.38	0.6	targetCS-	object	left	n/a	0.886	incorrect
133.02	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
143.41	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
146.09	0.6	targetCS-	object	right	right	0.226	correct
150.3	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
152.98	0.6	targetCS+	place	left	left	0.371	correct
158.17	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
160.85	0.6	targetCS-	place	right	right	0.228	correct
167.04	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
169.72	0.6	targetCS+	object	right	right	0.24	correct
173.91	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
176.6	0.6	targetCS-	object	left	left	0.453	correct
181.8	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
184.48	0.6	targetCS-	place	left	left	0.261	correct
190.67	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
193.35	0.6	targetCS+	object	right	right	0.872	correct
196.65	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
199.33	0.6	targetCS+	place	right	right	0.241	correct
202.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.2	0.6	targetCS+	place	right	right	0.248	correct
211.41	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
214.09	0.6	targetCS-	place	left	left	0.251	correct
218.28	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
220.98	0.6	targetCS+	object	left	left	0.418	correct
224.5	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.89	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
239.57	0.6	targetCS-	place	right	right	0.303	correct
244.8	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
247.47	0.6	targetCS+	place	right	right	0.253	correct
250.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
253.34	0.6	targetCS-	place	right	right	0.312	correct
259.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
262.23	0.6	targetCS-	object	left	left	0.381	correct
266.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
269.1	0.6	targetCS+	place	left	n/a	0.888	incorrect
