onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
2.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
5.42	0.6	targetCS+	place	right	right	0.194	correct
10.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
13.64	0.6	targetCS+	object	left	left	0.194	correct
17.16	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
28.92	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
31.6	0.6	targetCS-	object	left	left	0.351	correct
37.79	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
40.47	0.6	targetCS+	object	right	right	0.301	correct
44.66	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
47.34	0.6	targetCS+	place	left	left	0.291	correct
53.53	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
56.21	0.6	targetCS-	object	left	left	0.248	correct
61.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
64.08	0.6	targetCS+	object	left	left	0.285	correct
67.64	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
70.32	0.6	targetCS+	place	left	left	0.231	correct
74.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
77.19	0.6	targetCS-	place	left	left	0.263	correct
83.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
86.06	0.6	targetCS+	place	right	right	0.239	correct
91.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
93.93	0.6	targetCS-	object	right	right	0.224	correct
97.12	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.8	0.6	targetCS-	object	left	left	0.247	correct
106.36	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
109.04	0.6	targetCS-	object	left	left	0.266	correct
112.55	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
124.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
127.63	0.6	targetCS-	object	right	right	0.203	correct
131.82	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
134.5	0.6	targetCS-	place	left	left	0.305	correct
137.69	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
140.37	0.6	targetCS+	object	right	n/a	0.886	incorrect
145.68	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
148.36	0.6	targetCS-	place	right	right	0.219	correct
152.55	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
155.23	0.6	targetCS+	object	left	left	0.275	correct
158.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
161.1	0.6	targetCS+	place	left	left	0.235	correct
167.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
169.97	0.6	targetCS+	place	right	right	0.243	correct
175.16	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
177.84	0.6	targetCS-	place	right	right	0.336	correct
184.03	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
186.71	0.6	targetCS-	place	right	right	0.324	correct
190.9	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
193.58	0.6	targetCS-	place	left	left	0.57	correct
196.89	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
199.57	0.6	targetCS+	object	left	left	0.458	correct
205.76	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
208.44	0.6	targetCS-	object	right	right	0.206	correct
211.96	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
214.64	0.6	targetCS+	place	left	left	0.226	correct
218.16	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
230.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
233.23	0.6	targetCS+	object	right	right	0.259	correct
237.43	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
240.11	0.6	targetCS+	place	right	n/a	0.887	incorrect
246.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
249.44	0.6	targetCS-	object	right	right	0.194	correct
253.63	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
256.31	0.6	targetCS-	place	left	left	0.222	correct
259.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
262.2	0.6	targetCS-	place	right	right	0.259	correct
267.39	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
270.07	0.6	targetCS+	object	right	right	0.24	correct
