onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.12	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
6.81	0.6	targetCS+	object	right	right	0.502	correct
12.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
14.84	0.6	targetCS+	object	right	right	0.522	correct
18.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
20.84	0.6	targetCS-	object	right	right	0.503	correct
27.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.87	0.6	targetCS-	place	right	right	0.475	correct
33.07	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
35.75	0.6	targetCS-	object	left	left	0.424	correct
40.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
43.63	0.6	targetCS-	place	left	left	0.503	correct
47.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
59	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
61.68	0.6	targetCS+	place	right	right	0.503	correct
68	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
70.68	0.6	targetCS-	place	left	left	0.503	correct
76	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
78.68	0.6	targetCS+	place	left	left	0.515	correct
81.99	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
84.67	0.6	targetCS-	object	left	left	0.541	correct
90.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
93.67	0.6	targetCS-	place	left	left	0.439	correct
97.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
100.55	0.6	targetCS+	object	left	left	0.641	correct
103.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
106.55	0.6	targetCS+	object	left	left	0.553	correct
112.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
115.55	0.6	targetCS-	object	right	right	0.628	correct
119.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
122.54	0.6	targetCS+	object	left	left	0.547	correct
127.86	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.54	0.6	targetCS-	object	right	right	0.503	correct
133.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
136.57	0.6	targetCS+	place	right	right	0.459	correct
140.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
143.46	0.6	targetCS+	object	left	left	0.685	correct
148.78	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
151.46	0.6	targetCS+	place	left	left	0.417	correct
154.99	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
168.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
171.07	0.6	targetCS-	place	right	right	0.41	correct
176.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
178.95	0.6	targetCS+	place	left	left	0.559	correct
182.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
184.96	0.6	targetCS+	object	right	right	0.434	correct
191.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
193.84	0.6	targetCS+	place	right	right	0.582	correct
198.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
200.84	0.6	targetCS-	place	right	right	0.54	correct
205.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
207.85	0.6	targetCS-	object	left	left	0.478	correct
211.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
213.74	0.6	targetCS-	object	right	right	0.675	correct
220.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
222.74	0.6	targetCS-	place	left	left	0.466	correct
227.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
230.62	0.6	targetCS-	object	left	left	0.534	correct
236.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
239.64	0.6	targetCS-	place	right	right	0.426	correct
242.83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
245.52	0.6	targetCS+	object	right	right	0.435	correct
249.04	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
260.77	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
263.45	0.6	targetCS+	place	right	right	0.709	correct
268.76	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
271.45	0.6	targetCS+	place	left	left	0.674	correct
