onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
6.57	0.62	targetCS-	object	left	left	0.3	correct
11.79	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
14.47	0.6	targetCS+	object	right	right	0.317	correct
17.66	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
20.34	0.6	targetCS+	place	right	right	0.317	correct
26.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.21	0.6	targetCS+	place	left	left	0.209	correct
35.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
38.08	0.6	targetCS-	place	left	left	0.269	correct
41.6	8.22	boostShock	n/a	n/a	n/a	n/a	n/a
53.01	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
55.69	0.6	targetCS-	place	left	left	0.313	correct
58.88	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
61.56	0.6	targetCS-	object	right	right	0.293	correct
66.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.43	0.6	targetCS+	place	left	left	0.336	correct
73.63	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
76.3	0.6	targetCS-	object	left	left	0.308	correct
79.49	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
82.17	0.6	targetCS+	object	right	right	0.26	correct
87.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.04	0.6	targetCS-	place	right	right	0.302	correct
96.24	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
98.92	0.6	targetCS+	place	left	left	0.266	correct
102.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
104.79	0.6	targetCS+	place	right	right	0.288	correct
109.98	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
112.66	0.6	targetCS-	object	right	right	0.275	correct
116.85	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
119.53	0.6	targetCS+	object	right	right	0.26	correct
125.72	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
128.4	0.6	targetCS-	object	right	right	0.31	correct
133.59	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
136.27	0.6	targetCS-	object	left	left	0.302	correct
142.46	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
145.14	0.6	targetCS-	object	left	left	0.404	correct
148.66	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
159.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
161.73	0.6	targetCS-	object	right	right	0.361	correct
165.92	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
168.6	0.6	targetCS+	object	left	left	0.341	correct
173.79	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
176.47	0.6	targetCS-	place	left	left	0.297	correct
180.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
183.34	0.6	targetCS+	place	right	right	0.308	correct
189.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.21	0.6	targetCS+	object	left	left	0.301	correct
195.41	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
198.1	0.6	targetCS+	place	right	right	0.257	correct
204.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
206.97	0.6	targetCS+	place	left	left	0.466	correct
211.16	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
213.84	0.6	targetCS+	object	right	right	0.183	correct
219.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
221.71	0.6	targetCS+	object	left	left	0.3	correct
224.9	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
227.58	0.6	targetCS-	place	right	right	0.23	correct
231.77	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
234.45	0.6	targetCS-	place	right	right	0.234	correct
239.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
242.32	0.6	targetCS+	object	left	left	0.242	correct
245.84	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
259.24	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
261.92	0.6	targetCS-	place	right	right	0.362	correct
265.11	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
267.79	0.6	targetCS-	place	left	left	0.325	correct
