onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.71	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
7.4	0.6	targetCS-	place	right	right	0.289	correct
10.59	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
13.27	0.6	targetCS+	object	right	right	0.329	correct
19.46	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
22.14	0.6	targetCS-	object	left	left	0.312	correct
26.33	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.01	0.6	targetCS+	place	right	right	0.228	correct
32.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
34.88	0.6	targetCS+	place	right	right	0.293	correct
39.07	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
41.75	0.6	targetCS-	object	right	right	0.239	correct
45.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
58.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
61.34	0.6	targetCS+	object	left	left	0.338	correct
66.54	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
69.21	0.6	targetCS+	object	left	left	0.359	correct
74.4	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
77.08	0.6	targetCS-	object	right	right	0.339	correct
80.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
82.95	0.6	targetCS-	place	right	right	0.521	correct
89.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.94	0.6	targetCS-	object	left	left	0.306	correct
96.13	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
98.81	0.6	targetCS+	place	left	left	0.335	correct
105	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
107.68	0.6	targetCS-	place	right	right	0.312	correct
111.88	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
114.57	0.6	targetCS+	object	left	left	0.295	correct
119.76	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
122.44	0.6	targetCS-	place	left	left	0.354	correct
125.63	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
128.31	0.6	targetCS+	object	left	left	0.375	correct
132.5	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
135.18	0.6	targetCS-	object	left	left	0.32	correct
138.7	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
151.1	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
153.77	0.6	targetCS-	object	right	right	0.417	correct
159.97	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
162.65	0.6	targetCS+	place	left	left	0.255	correct
165.84	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.52	0.6	targetCS+	object	right	right	0.292	correct
174.71	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
177.39	0.6	targetCS+	place	left	left	0.37	correct
182.58	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
185.26	0.6	targetCS-	object	left	left	0.311	correct
188.45	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.13	0.6	targetCS+	place	right	right	0.366	correct
195.32	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
198	0.6	targetCS-	place	left	left	0.44	correct
201.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
203.87	0.6	targetCS-	place	right	right	0.356	correct
209.06	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
211.74	0.6	targetCS+	place	left	left	0.255	correct
218.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
220.86	0.6	targetCS+	place	right	right	0.259	correct
225.05	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
227.73	0.6	targetCS+	object	right	right	0.335	correct
231.92	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
234.6	0.6	targetCS-	object	right	right	0.4	correct
239.79	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
242.47	0.6	targetCS+	object	right	right	0.289	correct
245.99	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
256.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
259.06	0.6	targetCS-	place	left	left	0.563	correct
265.37	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
268.05	0.6	targetCS-	place	left	left	0.34	correct
