onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
8.4	0.6	targetCS+	object	left	left	0.358	correct
13.6	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
16.27	0.6	targetCS-	place	right	right	0.217	correct
19.46	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
22.14	0.6	targetCS+	place	right	right	0.254	correct
25.66	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
37.06	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
39.74	0.6	targetCS-	place	left	left	0.301	correct
45.93	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
48.61	0.6	targetCS-	place	right	right	0.228	correct
52.8	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
55.48	0.6	targetCS-	object	left	left	0.316	correct
60.67	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
63.35	0.6	targetCS+	place	left	left	0.357	correct
66.54	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.22	0.6	targetCS+	place	left	left	0.286	correct
75.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
78.09	0.6	targetCS+	object	right	right	0.206	correct
82.28	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
84.96	0.6	targetCS+	object	left	left	0.354	correct
88.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
90.83	0.6	targetCS+	object	right	right	0.3	correct
96.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
98.7	0.6	targetCS+	object	left	left	0.231	correct
104.89	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
107.57	0.6	targetCS+	object	right	right	0.222	correct
111.76	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.44	0.6	targetCS-	object	left	left	0.294	correct
117.96	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
128.35	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
131.03	0.6	targetCS+	place	left	left	0.386	correct
136.22	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
138.9	0.6	targetCS+	object	right	right	0.258	correct
145.1	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
147.78	0.6	targetCS-	place	left	left	0.356	correct
152.97	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
155.65	0.6	targetCS+	object	left	left	0.328	correct
158.84	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
161.52	0.6	targetCS-	object	left	left	0.509	correct
165.82	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
168.5	0.6	targetCS-	object	right	right	0.228	correct
173.69	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
176.37	0.6	targetCS+	place	right	right	0.301	correct
180.57	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
183.24	0.6	targetCS-	place	left	left	0.3	correct
186.44	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
189.11	0.6	targetCS+	place	left	left	0.272	correct
195.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
197.99	0.6	targetCS-	place	left	left	0.276	correct
201.18	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
203.86	0.6	targetCS-	object	right	right	0.202	correct
210.05	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
212.74	0.6	targetCS-	place	right	right	0.256	correct
216.26	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
228.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
231.34	0.6	targetCS+	place	right	right	0.3	correct
235.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
238.21	0.6	targetCS+	place	right	right	0.225	correct
242.4	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
245.08	0.6	targetCS-	object	right	right	0.43	correct
248.27	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
250.95	0.6	targetCS-	object	right	right	0.311	correct
257.16	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
259.83	0.6	targetCS-	object	left	left	0.239	correct
265.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
267.71	0.6	targetCS-	place	right	right	0.303	correct
