onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.74	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
7.42	0.6	targetCS-	place	left	left	0.277	correct
11.62	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
14.3	0.6	targetCS+	place	left	left	0.223	correct
17.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
20.2	0.6	targetCS+	object	left	left	0.244	correct
26.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
29.08	0.6	targetCS+	object	right	right	0.261	correct
32.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
35.29	0.6	targetCS-	place	left	left	0.282	correct
40.5	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
43.19	0.6	targetCS+	place	right	right	0.232	correct
46.71	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
60.11	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
62.79	0.6	targetCS-	place	left	left	0.3	correct
67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.69	0.6	targetCS+	place	right	right	0.285	correct
73.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
76.58	0.6	targetCS-	object	left	left	0.242	correct
82.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
85.47	0.6	targetCS+	place	left	left	0.217	correct
90.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
93.35	0.6	targetCS+	place	left	left	0.224	correct
96.57	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.26	0.6	targetCS-	object	right	right	0.229	correct
105.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
108.14	0.6	targetCS-	place	left	left	0.247	correct
111.67	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.35	0.6	targetCS+	place	right	right	0.271	correct
119.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
122.23	0.6	targetCS+	place	left	left	0.266	correct
126.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
129.11	0.6	targetCS-	place	right	right	0.245	correct
132.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
134.99	0.6	targetCS+	place	right	right	0.289	correct
138.51	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
150.22	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
152.91	0.6	targetCS-	object	right	right	0.281	correct
158.1	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
160.79	0.6	targetCS-	object	right	right	0.236	correct
166.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.67	0.6	targetCS-	place	right	right	0.265	correct
175.87	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
178.55	0.6	targetCS+	object	right	right	0.238	correct
181.75	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
184.43	0.6	targetCS-	place	right	right	0.339	correct
189.63	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
192.31	0.6	targetCS-	object	left	left	0.22	correct
196.52	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.21	0.6	targetCS+	object	right	right	0.223	correct
203.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
206.09	0.6	targetCS-	place	right	right	0.253	correct
212.29	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
214.97	0.6	targetCS+	object	left	left	0.255	correct
218.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
220.86	0.6	targetCS-	object	left	left	0.264	correct
226.06	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
228.75	0.6	targetCS+	object	left	left	0.23	correct
233.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
236.63	0.6	targetCS-	object	right	right	0.372	correct
240.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
243.51	0.6	targetCS-	object	left	left	0.244	correct
247.03	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
257.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
260.1	0.6	targetCS+	object	right	right	0.216	correct
266.3	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
268.99	0.6	targetCS+	object	left	left	0.239	correct
