onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.77	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
6.45	0.6	targetCS-	place	left	left	0.349	correct
12.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
15.35	0.6	targetCS+	place	left	left	0.325	correct
18.88	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
29.27	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
31.95	0.6	targetCS-	object	right	right	0.346	correct
37.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.83	0.6	targetCS+	object	left	left	0.32	correct
45.03	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
47.71	0.6	targetCS-	object	right	right	0.428	correct
51.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
54.59	0.6	targetCS-	object	left	left	0.281	correct
57.8	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
60.49	0.6	targetCS-	object	left	left	0.372	correct
66.7	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.39	0.6	targetCS+	object	right	right	0.322	correct
72.58	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
75.26	0.6	targetCS-	place	right	right	0.463	correct
79.49	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
82.18	0.6	targetCS+	place	right	right	0.368	correct
87.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.09	0.6	targetCS-	place	right	right	0.272	correct
96.29	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
98.97	0.6	targetCS+	object	right	right	0.326	correct
104.17	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
106.86	0.6	targetCS+	place	right	right	0.417	correct
113.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
115.74	0.6	targetCS+	object	right	right	0.315	correct
119.26	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
130.65	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
133.34	0.6	targetCS+	place	right	right	0.324	correct
136.53	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
139.22	0.6	targetCS+	object	right	right	0.386	correct
143.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
146.09	0.6	targetCS-	object	left	left	0.484	correct
149.31	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
151.99	0.6	targetCS-	place	left	left	0.48	correct
158.19	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
160.87	0.6	targetCS+	place	left	left	0.325	correct
166.07	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.75	0.6	targetCS-	place	right	right	0.256	correct
173.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
176.63	0.6	targetCS+	object	left	left	0.348	correct
179.85	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
182.53	0.6	targetCS+	place	right	right	0.383	correct
186.72	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
189.41	0.6	targetCS+	object	left	left	0.265	correct
195.62	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
198.31	0.6	targetCS-	object	left	left	0.329	correct
202.52	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.2	0.6	targetCS+	place	left	left	0.346	correct
208.4	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
211.08	0.6	targetCS-	place	left	left	0.445	correct
217.31	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
220.01	0.6	targetCS-	object	right	right	0.257	correct
223.54	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
238.95	0.6	targetCS-	object	right	right	0.396	correct
243.16	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
245.84	0.6	targetCS-	place	right	right	0.463	correct
249.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
251.74	0.6	targetCS-	place	left	left	0.436	correct
257.97	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
260.65	0.62	targetCS+	place	left	left	0.482	correct
265.87	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.55	0.6	targetCS+	object	left	left	0.446	correct
