onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.74	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
8.44	0.6	targetCS-	place	left	left	0.21	correct
13.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.32	0.6	targetCS-	object	left	left	0.227	correct
19.85	8.21	boostShock	n/a	n/a	n/a	n/a	n/a
30.25	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
32.94	0.6	targetCS-	place	right	right	0.557	correct
37.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.95	0.6	targetCS-	object	right	right	0.255	correct
45.15	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
47.83	0.6	targetCS-	place	left	left	0.289	correct
52.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
54.71	0.6	targetCS-	object	left	left	0.246	correct
60.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
63.59	0.6	targetCS-	object	left	left	0.315	correct
66.79	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.47	0.6	targetCS+	object	right	right	0.161	correct
72.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
75.35	0.6	targetCS+	object	right	right	0.311	correct
79.54	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
82.23	0.6	targetCS+	place	right	right	0.25	correct
88.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.11	0.6	targetCS+	place	left	left	0.258	correct
96.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
98.99	0.6	targetCS+	place	right	right	0.273	correct
102.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
104.87	0.6	targetCS+	object	right	right	0.244	correct
110.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
112.75	0.6	targetCS-	place	right	right	0.208	correct
116.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
127.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.35	0.6	targetCS-	place	left	left	0.351	correct
136.55	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
139.23	0.6	targetCS+	object	left	left	0.239	correct
142.42	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
145.11	0.6	targetCS-	object	right	right	0.211	correct
151.31	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
153.99	0.6	targetCS+	place	left	left	0.248	correct
159.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
161.87	0.6	targetCS+	object	left	left	0.218	correct
166.07	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.75	0.6	targetCS+	object	left	left	0.304	correct
171.95	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
174.63	0.6	targetCS-	place	right	right	0.197	correct
179.83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
182.51	0.6	targetCS+	object	left	left	0.27	correct
188.71	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.39	0.6	targetCS-	object	left	right	0.265	incorrect
195.59	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.27	0.6	targetCS+	place	left	left	0.237	correct
202.47	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
205.15	0.6	targetCS+	place	right	right	0.314	correct
210.35	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.03	0.6	targetCS-	object	right	right	0.228	correct
219.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
221.92	0.6	targetCS+	place	left	left	0.239	correct
225.44	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
235.83	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.51	0.6	targetCS+	place	right	right	0.376	correct
241.71	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
244.39	0.6	targetCS-	object	right	right	0.265	correct
250.59	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
253.27	0.6	targetCS-	place	right	right	0.231	correct
258.47	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.15	0.6	targetCS-	place	left	left	0.188	correct
265.35	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
268.05	0.6	targetCS+	object	right	right	0.265	correct
