onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
8.42	0.6	targetCS-	place	left	left	0.304	correct
13.62	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
16.3	0.6	targetCS-	object	left	left	0.264	correct
19.82	8.22	boostShock	n/a	n/a	n/a	n/a	n/a
30.23	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
32.91	0.6	targetCS-	place	right	right	0.431	correct
37.11	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.79	0.6	targetCS-	object	right	right	0.305	correct
44.99	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
47.67	0.6	targetCS-	place	left	left	0.308	correct
51.87	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
54.55	0.6	targetCS-	object	left	left	0.462	correct
60.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
63.44	0.6	targetCS-	object	left	left	0.451	correct
66.63	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.31	0.6	targetCS+	object	right	right	0.353	correct
72.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
75.19	0.6	targetCS+	object	right	right	0.332	correct
79.39	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
82.07	0.6	targetCS+	place	right	right	0.462	correct
88.27	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
90.95	0.6	targetCS+	place	left	left	0.354	correct
96.15	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
98.84	0.6	targetCS+	place	right	right	0.241	correct
102.03	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
104.71	0.6	targetCS+	object	right	right	0.364	correct
109.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
112.59	0.6	targetCS-	place	right	n/a	0.887	incorrect
116.23	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
127.63	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.31	0.6	targetCS-	place	left	left	0.384	correct
136.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
139.19	0.6	targetCS+	object	left	left	0.346	correct
142.39	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
145.07	0.6	targetCS-	object	right	n/a	0.886	incorrect
151.39	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.07	0.6	targetCS+	place	left	left	0.351	correct
159.27	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
161.95	0.6	targetCS+	object	left	left	0.338	correct
166.15	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
168.83	0.6	targetCS+	object	left	left	0.258	correct
172.02	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
174.71	0.6	targetCS-	place	right	right	0.325	correct
179.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
182.59	0.6	targetCS+	object	left	left	0.334	correct
188.79	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.47	0.6	targetCS-	object	left	left	0.503	correct
195.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.47	0.6	targetCS+	place	left	n/a	0.888	incorrect
202.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.46	0.6	targetCS+	place	right	right	0.807	correct
210.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.46	0.6	targetCS-	object	right	right	0.373	correct
219.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
222.34	0.6	targetCS+	place	left	left	0.339	correct
225.87	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.94	0.6	targetCS+	place	right	right	0.308	correct
242.14	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
244.82	0.6	targetCS-	object	right	right	0.444	correct
251.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
253.7	0.6	targetCS-	place	right	right	0.4	correct
258.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.58	0.6	targetCS-	place	left	left	0.425	correct
265.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.46	0.6	targetCS+	object	right	right	0.503	correct
