onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.09	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
7.77	0.6	targetCS-	place	right	right	0.357	correct
10.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
13.65	0.6	targetCS+	object	right	right	0.386	correct
20.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
22.86	0.6	targetCS-	object	left	left	0.405	correct
27.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.76	0.6	targetCS+	place	right	right	0.353	correct
32.95	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
35.64	0.6	targetCS+	place	right	right	0.366	correct
39.83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
42.52	0.6	targetCS-	object	right	right	0.409	correct
46.04	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
59.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
62.12	0.6	targetCS+	object	left	left	0.412	correct
67.32	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
70	0.6	targetCS+	object	left	left	0.339	correct
75.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
77.88	0.6	targetCS-	object	right	right	0.307	correct
81.08	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
83.76	0.6	targetCS-	place	right	right	0.289	correct
89.96	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.64	0.6	targetCS-	object	left	left	0.292	correct
96.84	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.52	0.6	targetCS+	place	left	left	0.307	correct
105.72	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
108.41	0.6	targetCS-	place	right	right	0.404	correct
112.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
115.28	0.6	targetCS+	object	left	left	0.481	correct
120.48	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
123.17	0.6	targetCS-	place	left	left	0.231	correct
126.36	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
129.04	0.6	targetCS+	object	left	left	0.227	correct
133.24	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
135.92	0.6	targetCS-	object	left	left	0.235	correct
139.45	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
151.84	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.52	0.6	targetCS-	object	right	right	0.384	correct
160.72	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
163.41	0.6	targetCS+	place	left	left	0.365	correct
166.6	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.28	0.6	targetCS+	object	right	right	0.29	correct
175.48	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
178.17	0.6	targetCS+	place	left	left	0.325	correct
183.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
186.05	0.6	targetCS-	object	left	left	0.307	correct
189.24	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.92	0.6	targetCS+	place	right	right	0.321	correct
196.12	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
198.8	0.6	targetCS-	place	left	left	0.335	correct
202	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
204.68	0.6	targetCS-	place	right	right	0.38	correct
209.9	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
212.58	0.6	targetCS+	place	left	left	0.336	correct
218.78	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
221.46	0.6	targetCS+	place	right	right	0.383	correct
225.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
228.34	0.6	targetCS+	object	right	right	0.322	correct
232.56	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
235.24	0.6	targetCS-	object	right	right	0.345	correct
240.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
243.12	0.6	targetCS+	object	right	right	0.335	correct
246.64	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
257.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
259.72	0.6	targetCS-	place	left	left	0.38	correct
265.91	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.6	0.6	targetCS-	place	left	left	0.364	correct
