onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
5.75	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
8.43	0.6	targetCS-	place	left	left	0.444	correct
13.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.65	0.6	targetCS-	object	left	left	0.354	correct
20.17	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
30.56	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
33.25	0.6	targetCS-	place	right	right	0.347	correct
37.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.12	0.6	targetCS-	object	right	right	0.357	correct
45.32	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
48.02	0.6	targetCS-	place	left	left	0.346	correct
52.22	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
54.9	0.6	targetCS-	object	left	left	0.36	correct
61.1	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
63.78	0.6	targetCS-	object	left	left	0.64	correct
67.1	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
69.78	0.6	targetCS+	object	right	right	0.32	correct
72.97	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
75.66	0.6	targetCS+	object	right	right	0.362	correct
79.85	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
82.53	0.6	targetCS+	place	right	right	0.339	correct
88.73	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
91.42	0.62	targetCS+	place	left	left	0.362	correct
96.65	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.33	0.6	targetCS+	place	right	right	0.321	correct
102.55	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
105.23	0.6	targetCS+	object	right	right	0.309	correct
110.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
113.12	0.6	targetCS-	place	right	right	0.343	correct
116.65	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
128.04	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
130.72	0.6	targetCS-	place	left	left	0.29	correct
136.92	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
139.61	0.6	targetCS+	object	left	left	0.368	correct
142.8	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
145.48	0.6	targetCS-	object	right	right	0.36	correct
151.68	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
154.37	0.6	targetCS+	place	left	left	0.352	correct
159.56	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
162.25	0.6	targetCS+	object	left	left	0.354	correct
166.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.13	0.6	targetCS+	object	left	left	0.296	correct
172.32	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
175	0.6	targetCS-	place	right	right	0.346	correct
180.2	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
182.89	0.6	targetCS+	object	left	left	0.35	correct
189.09	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.77	0.6	targetCS-	object	left	left	0.285	correct
195.97	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.65	0.6	targetCS+	place	left	left	0.384	correct
202.84	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.53	0.6	targetCS+	place	right	right	0.373	correct
210.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.41	0.6	targetCS-	object	right	right	0.344	correct
219.61	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
222.29	0.6	targetCS+	place	left	left	0.381	correct
225.81	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.21	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
238.89	0.6	targetCS+	place	right	right	0.379	correct
242.08	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
244.77	0.6	targetCS-	object	right	right	0.391	correct
250.98	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
253.67	0.6	targetCS-	place	right	right	0.503	correct
258.98	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
261.66	0.6	targetCS-	place	left	left	0.368	correct
265.88	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.56	0.6	targetCS+	object	right	right	0.314	correct
