onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.77	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
7.47	0.6	targetCS+	object	right	right	0.464	correct
11.68	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
14.37	0.6	targetCS-	object	right	right	0.412	correct
20.58	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
23.27	0.6	targetCS-	place	left	left	0.378	correct
26.46	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.14	0.6	targetCS+	object	right	right	0.377	correct
35.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
38.06	0.6	targetCS+	place	left	left	0.332	correct
41.58	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
54.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
56.99	0.6	targetCS-	object	left	left	0.582	correct
61.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
63.99	0.6	targetCS-	object	left	left	0.32	correct
67.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.87	0.6	targetCS-	place	left	left	0.322	correct
75.07	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
77.75	0.6	targetCS+	place	right	right	0.408	correct
81.94	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
84.63	0.6	targetCS+	place	left	left	0.305	correct
87.82	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
90.51	0.6	targetCS+	object	right	right	0.34	correct
96.74	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.42	0.6	targetCS+	object	left	left	0.335	correct
102.62	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
105.3	0.6	targetCS+	object	left	left	0.37	correct
111.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
114.22	0.6	targetCS+	place	left	left	0.347	correct
118.45	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
121.13	0.6	targetCS-	place	right	right	0.413	correct
126.36	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
129.04	0.6	targetCS-	object	left	left	0.329	correct
133.24	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
135.92	0.6	targetCS-	object	left	left	0.463	correct
139.45	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
151.86	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
154.54	0.6	targetCS-	place	left	left	0.326	correct
160.74	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
163.42	0.6	targetCS-	place	right	right	0.437	correct
166.62	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
169.3	0.6	targetCS+	object	left	left	0.4	correct
173.51	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
176.2	0.6	targetCS+	place	left	left	0.36	correct
181.41	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
184.09	0.6	targetCS+	place	right	right	0.363	correct
190.29	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
192.98	0.6	targetCS-	place	right	right	0.659	correct
196.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.99	0.6	targetCS-	object	right	right	0.373	correct
203.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
205.87	0.6	targetCS-	place	left	left	0.281	correct
209.06	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
211.74	0.6	targetCS+	object	right	right	0.464	correct
217.94	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
220.63	0.6	targetCS+	object	left	left	0.251	correct
225.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
228.54	0.6	targetCS+	place	right	right	0.308	correct
232.06	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
243.47	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
246.16	0.6	targetCS-	object	right	right	0.319	correct
252.36	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.04	0.6	targetCS+	place	right	right	0.424	correct
260.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
262.94	0.6	targetCS-	object	right	right	0.325	correct
266.13	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
268.82	0.6	targetCS-	place	right	right	0.408	correct
