onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
2.77	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
5.45	0.6	targetCS-	place	left	left	0.194	correct
11.68	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
14.36	0.6	targetCS-	object	right	right	0.182	correct
19.59	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
22.27	0.6	targetCS+	place	left	left	0.261	correct
25.79	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
37.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
39.89	0.6	targetCS+	place	right	right	0.332	correct
46.11	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.79	0.6	targetCS+	object	right	right	0.238	correct
53.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
56.67	0.6	targetCS+	place	right	right	0.235	correct
60.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
63.58	0.6	targetCS+	object	right	right	0.218	correct
66.77	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
69.45	0.6	targetCS+	place	left	left	0.368	correct
74.64	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
77.32	0.6	targetCS+	object	left	left	0.228	correct
81.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
84.23	0.6	targetCS-	object	left	left	0.283	correct
90.46	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
93.14	0.6	targetCS-	place	right	right	0.372	correct
96.35	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.03	0.6	targetCS+	object	right	right	0.309	correct
104.26	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
106.94	0.6	targetCS+	object	left	left	0.349	correct
113.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
115.85	0.6	targetCS+	place	left	left	0.338	correct
120.06	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
122.74	0.6	targetCS+	place	left	left	0.302	correct
125.96	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
128.64	0.6	targetCS-	place	right	right	0.253	correct
132.16	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
144.56	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
147.24	0.6	targetCS-	object	left	left	0.323	correct
150.47	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
153.15	0.6	targetCS-	object	left	left	0.244	correct
159.36	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
162.04	0.6	targetCS-	place	right	right	0.186	correct
166.27	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
168.95	0.6	targetCS+	object	right	right	0.301	correct
174.19	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
176.87	0.6	targetCS-	place	right	right	0.307	correct
181.1	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
183.78	0.6	targetCS-	object	right	right	0.259	correct
190.01	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
192.69	0.6	targetCS-	place	left	left	0.336	correct
195.88	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.56	0.6	targetCS-	place	left	left	0.296	correct
202.79	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
205.47	0.6	targetCS-	object	right	right	0.247	correct
211.7	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
214.38	0.6	targetCS+	place	right	right	0.344	correct
217.6	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
220.28	0.6	targetCS+	place	right	right	0.251	correct
225.53	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
228.21	0.6	targetCS+	object	left	left	0.319	correct
231.73	8.19	boostShock	n/a	n/a	n/a	n/a	n/a
244.16	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
246.84	0.6	targetCS-	object	right	right	0.405	correct
253.07	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
255.75	0.6	targetCS+	object	left	left	0.456	correct
258.94	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
261.62	0.6	targetCS-	object	left	left	0.222	correct
265.85	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
268.53	0.6	targetCS-	place	left	left	0.225	correct
