onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
6.07	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
8.76	0.6	targetCS-	place	right	right	0.266	correct
13.96	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
16.64	0.6	targetCS-	place	left	left	0.218	correct
20.17	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
30.56	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
33.24	0.6	targetCS-	place	left	left	0.289	correct
37.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.12	0.6	targetCS+	object	left	left	0.264	correct
46.32	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
49	0.6	targetCS+	object	left	left	0.344	correct
52.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
54.88	0.6	targetCS+	object	right	right	0.18	correct
60.11	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
62.8	0.6	targetCS-	place	right	right	0.31	correct
66.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.68	0.6	targetCS+	object	right	right	0.318	correct
75.91	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
78.59	0.6	targetCS+	place	right	right	0.289	correct
83.79	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
86.47	0.6	targetCS+	object	left	left	0.255	correct
89.67	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
92.35	0.6	targetCS-	place	right	left	0.225	incorrect
96.56	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.25	0.6	targetCS-	object	right	right	0.211	correct
103.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
106.12	0.6	targetCS+	object	left	left	0.242	correct
112.34	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
115.03	0.6	targetCS-	object	right	right	0.234	correct
120.22	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
122.91	0.6	targetCS+	place	right	right	0.326	correct
126.43	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
136.82	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
139.5	0.6	targetCS-	object	left	left	0.389	correct
144.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
146.72	0.6	targetCS+	object	right	right	0.365	correct
149.93	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
152.61	0.6	targetCS-	place	left	left	0.27	correct
158.83	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
161.51	0.6	targetCS+	place	left	left	0.365	correct
166.71	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
169.39	0.6	targetCS+	place	right	right	0.152	correct
172.59	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
175.27	0.6	targetCS+	place	left	left	0.144	correct
179.5	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
182.18	0.6	targetCS+	place	right	right	0.164	correct
187.38	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
190.06	0.6	targetCS-	object	left	left	0.326	correct
196.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
198.94	0.6	targetCS-	place	left	right	0.22	incorrect
203.14	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
205.82	0.6	targetCS+	place	left	left	0.315	correct
209.05	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
211.74	0.6	targetCS-	object	left	left	0.257	correct
217.93	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
220.62	0.6	targetCS-	place	right	right	0.18	correct
224.14	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
236.54	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
239.22	0.6	targetCS-	object	left	left	0.398	correct
245.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
248.1	0.6	targetCS-	object	right	right	0.203	correct
253.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
255.98	0.6	targetCS+	object	right	right	0.302	correct
260.18	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
262.86	0.6	targetCS+	place	left	right	0.242	incorrect
266.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
268.74	0.6	targetCS-	object	right	right	0.351	correct
