onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
3.1	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
5.78	0.6	targetCS+	place	right	right	0.331	correct
11.98	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
14.66	0.6	targetCS+	place	right	right	0.273	correct
19.19	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
21.88	0.6	targetCS+	object	right	right	0.228	correct
25.4	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
37.8	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
40.48	0.6	targetCS-	object	right	right	0.256	correct
44.67	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
47.36	0.6	targetCS+	place	left	left	0.302	correct
50.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
53.23	0.6	targetCS-	place	left	left	0.326	correct
59.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
62.12	0.6	targetCS-	object	right	right	0.306	correct
67.32	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
70.02	0.6	targetCS+	object	left	left	0.277	correct
76.21	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
78.9	0.6	targetCS-	object	right	right	0.226	correct
83.43	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
86.11	0.6	targetCS-	place	left	left	0.306	correct
91.31	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
93.99	0.6	targetCS-	object	left	left	0.263	correct
97.19	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
99.87	0.6	targetCS+	place	left	left	0.294	correct
105.07	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
107.75	0.6	targetCS-	place	left	left	0.288	correct
113.95	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
116.63	0.6	targetCS+	place	right	right	0.24	correct
120.16	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
130.88	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
133.57	0.6	targetCS-	object	left	left	0.219	correct
137.79	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
140.48	0.6	targetCS+	place	right	right	0.227	correct
145.68	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
148.36	0.6	targetCS-	place	right	right	0.253	correct
152.56	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
155.24	0.6	targetCS+	place	left	left	0.257	correct
161.44	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
164.12	0.6	targetCS-	object	left	left	0.268	correct
167.32	0.71	toneCS-	n/a	n/a	n/a	n/a	n/a
170.01	0.6	targetCS+	object	right	right	0.248	correct
173.21	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
175.89	0.6	targetCS+	object	left	left	0.217	correct
181.09	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
183.77	0.6	targetCS-	place	right	right	0.293	correct
189.97	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
192.66	0.6	targetCS-	object	right	right	0.206	correct
196.85	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
199.54	0.6	targetCS+	object	right	right	0.232	correct
204.73	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
207.42	0.6	targetCS+	object	left	left	0.282	correct
211.63	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
214.31	0.6	targetCS-	object	left	left	0.222	correct
217.84	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
231.57	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
234.25	0.6	targetCS-	place	right	right	0.208	correct
237.44	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
240.13	0.6	targetCS+	object	right	right	0.273	correct
245.33	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
248.01	0.6	targetCS-	place	right	right	0.436	correct
252.2	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
254.89	0.6	targetCS-	place	left	left	0.19	correct
258.08	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
260.76	0.6	targetCS+	place	left	left	0.195	correct
266.97	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
269.65	0.6	targetCS+	object	left	left	0.232	correct
