onset	duration	trial_type	salient_image	salient_location	response_location	response_time	correct
4.73	0.71	toneCS+	n/a	n/a	n/a	n/a	n/a
7.43	0.6	targetCS+	place	left	left	0.396	correct
10.62	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
13.31	0.6	targetCS-	place	left	left	0.4	correct
19.51	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
22.19	0.6	targetCS+	place	left	left	0.414	correct
26.39	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
29.07	0.6	targetCS+	place	left	left	0.404	correct
32.59	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
45.99	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
48.67	0.6	targetCS+	object	right	n/a	0.886	incorrect
52.99	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
55.67	0.6	targetCS+	object	left	left	0.523	correct
58.98	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
61.66	0.6	targetCS+	object	left	left	0.338	correct
66.86	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
69.54	0.6	targetCS+	place	right	right	0.326	correct
72.74	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
75.42	0.6	targetCS-	place	left	left	0.349	correct
81.62	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
84.31	0.6	targetCS+	place	right	right	0.383	correct
89.5	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
92.19	0.6	targetCS-	place	right	right	0.362	correct
96.38	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
99.06	0.6	targetCS-	object	left	left	0.355	correct
105.27	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
107.95	0.6	targetCS-	object	left	left	0.356	correct
111.14	0.69	toneCS-	n/a	n/a	n/a	n/a	n/a
113.83	0.6	targetCS+	object	right	right	0.321	correct
119.02	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
121.71	0.6	targetCS-	object	left	left	0.338	correct
125.9	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
128.59	0.6	targetCS-	place	right	right	0.313	correct
132.78	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
135.46	0.6	targetCS+	object	right	right	0.426	correct
138.99	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
152.38	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
155.07	0.6	targetCS-	place	left	left	0.371	correct
158.26	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
160.95	0.6	targetCS-	place	right	right	0.323	correct
166.14	0.69	toneCS+	n/a	n/a	n/a	n/a	n/a
168.83	0.6	targetCS-	object	left	left	0.356	correct
175.03	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
177.71	0.6	targetCS+	place	left	left	0.341	correct
180.9	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
183.59	0.6	targetCS-	object	right	right	0.447	correct
188.78	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
191.47	0.6	targetCS-	object	right	right	0.386	correct
195.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
198.35	0.6	targetCS+	object	right	right	0.394	correct
204.55	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
207.23	0.6	targetCS+	place	right	right	0.34	correct
210.42	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
213.11	0.6	targetCS-	place	right	right	0.402	correct
217.3	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
219.99	0.6	targetCS-	object	right	right	0.366	correct
225.18	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
227.87	0.6	targetCS-	place	left	left	0.435	correct
233.06	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
235.75	0.6	targetCS+	object	left	left	0.354	correct
239.27	8.2	boostShock	n/a	n/a	n/a	n/a	n/a
249.66	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
252.35	0.6	targetCS+	object	left	left	0.603	correct
258.66	0.7	toneCS-	n/a	n/a	n/a	n/a	n/a
261.35	0.6	targetCS+	place	right	right	0.24	correct
265.54	0.7	toneCS+	n/a	n/a	n/a	n/a	n/a
268.23	0.6	targetCS-	object	right	right	0.549	correct
